Variable,Casos perdidos,Datos perdidos (%)
residente_habitual,7879,6.7
miembro_hogar,3966,3.4
sexo,3966,3.4
edad,3966,3.4
existe_olla_zona_num,1717,1.5
obtuvo_alimentos_olla_num,1717,1.5
tipo_vivienda,1132,1
material_paredes,1132,1
material_piso,1132,1
habitaciones,1132,1
conglome,0,0
vivienda,0,0
hogar,0,0
codperso,0,0
ubigeo,0,0
dominio,0,0
estrato,0,0
procedencia_agua,0,0
servicio_higienico,0,0
electricidad,0,0
internet,0,0
parentesco,0,0
registros_modulo_613,0,0
existencia_olla_zona,0,0
acceso_olla_comun,0,0
sexo_recodificado,0,0
grupo_edad,0,0
area_residencia,0,0
